iter	RMSE
138	675.0636099
139	673.0610258
140	671.3312633
141	669.7247927
142	668.0547783
143	666.727329
144	665.2163266
145	663.5845718
146	662.1532721
147	660.8606989
148	659.645516
149	658.3606076
150	657.3990453
151	655.6842899
152	654.5589585
153	653.0891882
154	651.9451199
155	650.483378
156	649.4493813
157	648.1525143
158	646.3374259
159	645.3194931
160	644.3538894
161	643.5106246
162	642.2679238
163	641.021966
164	640.151841
165	639.2670961
166	638.4177349
167	637.4823846
168	636.587156
169	635.2111113
170	633.8703144
171	632.4971289
172	631.8958832
173	631.0038146
174	630.0306617
175	629.302115
176	628.6582321
177	628.032124
178	627.4050141
179	625.9290418
180	625.1977943
181	624.6634917
182	623.8242592
183	623.3012519
184	622.6175428
185	621.8364219
186	621.3533871
187	620.3139726
188	619.1959444
189	618.5316127
190	617.7550198
191	616.8978762
192	615.7728571
193	615.2238671
194	614.8497597
195	614.2364233
196	613.3717897
197	612.8506074
198	612.4192269
199	611.9794041
200	611.3042154
201	610.6822267
202	610.0778951
203	609.6184216
204	609.0824836
205	608.6298232
206	607.7216252
207	607.1756921
208	606.7387409
209	606.0806438
210	605.5775822
211	605.0148684
212	604.6804528
213	604.1137294
214	603.7912128
215	603.3626809
216	602.4972032
217	602.2255529
218	601.4965951
219	600.8848609
220	599.8060834
221	599.5305415
222	599.1372852
223	598.3817765
224	598.0037022
225	597.7086315
226	597.2755239
227	597.0059444
228	596.1919872
229	595.785878
230	595.0989456
231	594.7919537
232	593.9540055
233	593.1452462
234	592.9658308
235	592.4583958
236	592.026463
237	591.3061512
238	590.9447121
239	590.5484989
240	590.1603579
241	589.5232282
242	589.099274
243	588.1974274
244	587.9193251
245	587.6592045
246	587.4442731
247	586.9720173
248	586.1843114
249	585.4483161
250	585.0623634
251	584.6613888
252	584.2972984
253	583.9820613
254	583.7840355
255	583.4398154
256	583.06812
257	582.6745458
258	582.3837511
259	581.8609583
260	581.5037686
261	581.0204395
262	580.8981998
263	580.719557
264	580.5151808
265	580.0477482
266	579.8259562
267	579.6277678
268	579.4338793
269	578.880675
270	578.4450533
271	577.8762608
272	577.4041594
273	577.0696374
274	576.7240353
275	576.5024308
276	576.2808987
277	575.9929189
278	575.4555329
279	575.2562178
280	574.9182963
281	574.682629
282	574.5451263
283	574.2166105
284	574.017524
285	573.8072659
286	573.2105829
287	572.7715807
288	572.3464201
289	571.8906725
290	571.4926188
291	571.2967062
292	571.0228738
293	570.5872292
294	570.314474
295	570.0246667
296	569.888374
297	569.6435515
298	569.4947662
299	569.205608
300	569.087
301	568.8298623
302	568.6137847
303	568.3553541
304	568.1215744
305	567.734717
306	567.4765111
307	567.2012491
308	567.015245
309	566.8070508
310	566.535292
311	566.2630607
312	565.9948364
313	565.6719243
314	565.2742707
315	565.0085685
316	564.8887733
317	564.6506934
318	564.4525798
319	564.2295822
320	564.0434192
321	563.7163941
322	563.3049575
323	562.9815529
324	562.7502955
325	562.4720624
326	562.1382339
327	561.9323887
328	561.8539765
329	561.5881235
330	561.4069643
331	561.1299625
332	560.8105209
333	560.5153677
334	560.3674672
335	560.227558
336	559.9196975
337	559.6442763
338	559.4070502
339	559.0985361
340	558.6503445
341	558.4981874
342	558.3408162
343	558.2542316
344	557.9922384
345	557.871781
346	557.8291119
347	557.6608036
348	557.424764
349	557.189843
350	556.9622837
351	556.8331398
352	556.5455962
353	556.3287661
354	556.0431892
355	555.8177403
356	555.6496838
357	555.2702026
358	555.0781387
359	554.7909056
360	554.6433315
361	554.3723145
362	554.2513491
363	554.0297853
364	553.8918355
365	553.7382354
366	553.5328024
367	553.4336766
368	553.1664035
369	552.9672319
370	552.814155
371	552.6983745
372	552.4919169
373	552.4281347
374	552.1831695
375	551.992234
376	551.7972433
377	551.7083086
378	551.5157171
379	551.4196858
380	551.1591213
381	550.9655763
382	550.7528714
383	550.5640497
384	550.4459607
385	550.3097933
386	550.2021288
387	550.0858249
388	550.0432773
389	549.9289142
390	549.7279451
391	549.4571566
392	549.3546341
393	549.3239669
394	549.2273082
395	549.0843347
396	548.800594
397	548.6994727
398	548.511588
399	548.3725882
400	548.2526038
401	548.0191061
402	547.9294851
403	547.8347793
404	547.7318941
405	547.6428662
406	547.5621535
407	547.3523374
408	547.2508635
409	547.2376195
410	547.0110531
411	546.898758
412	546.7098092
413	546.6979464
414	546.6004885
415	546.5450135
416	546.3771644
417	546.2846478
418	546.0815121
419	545.9137853
420	545.6693391
421	545.5312784
422	545.5235324
423	545.4494967
424	545.3866717
425	545.381018
426	545.2211805
427	545.2127338
428	545.0197664
429	544.9704404
430	544.8699573
431	544.7127773
432	544.6324156
433	544.4182502
434	544.3887785
435	544.346994
436	544.3004993
437	544.2220313
438	543.9964322
439	543.7820017
440	543.5587033
441	543.5048236
442	543.4379565
443	543.4069599
444	543.1992558
445	543.092843
446	542.9957944
447	542.9515163
448	542.7579064
449	542.6690656
450	542.4677253
451	542.4081084
452	542.2125492
453	542.1353977
454	542.1127084
455	541.9172062
456	541.7599089
457	541.6093668
458	541.5589225
459	541.2821234
460	541.10973
461	541.0389428
462	540.8402044
463	540.8330903
464	540.6404284
465	540.4617428
466	540.4409574
467	540.4079875
468	540.3264729
469	540.1624149
470	540.0296696
471	539.9330932
472	539.6979104
473	539.4819461
474	539.4588392
475	539.430494
476	539.3948046
477	539.372225
478	539.2468435
479	539.152727
480	539.0770162
481	538.8936695
482	538.7663016
483	538.6727931
484	538.6170376
485	538.4494927
486	538.3684731
487	538.3452498
488	538.2275176
489	538.0116741
490	537.9037714
491	537.8020651
492	537.7178886
493	537.6916263
494	537.6872445
495	537.5341147
496	537.3384434
497	537.3199161
498	537.1827927
499	537.1260097
500	536.9625968
501	536.810997
502	536.7524979
503	536.6637822
504	536.5794655
505	536.5383692
506	536.4653642
507	536.4564015
508	536.406649
509	536.2602994
510	536.1530785
511	536.0600087
512	536.0112906
513	535.8457201
514	535.8329926
515	535.8044517
516	535.7228949
517	535.7015599
518	535.5955238
519	535.4491292
520	535.3533114
521	535.2837048
522	535.2628612
523	535.2329648
524	535.1216504
525	535.0281117
526	534.9384208
527	534.9200333
528	534.872663
529	534.7142497
530	534.6082095
531	534.4700265
532	534.3690449
533	534.3244947
534	534.1450673
535	534.0788055
536	533.9781017
537	533.8823539
538	533.7850532
539	533.7149764
540	533.6382325
541	533.5563867
542	533.5467854
543	533.4388124
544	533.4210679
545	533.3510525
546	533.1210581
547	533.0900678
548	532.9674318
549	532.874313
550	532.685767
551	532.5504333
552	532.5166167
553	532.4467733
554	532.4050885
555	532.3498881
556	532.3084
557	532.1853877
558	532.0916486
559	532.0203885
560	531.8170481
561	531.699592
562	531.6003613
563	531.4866992
564	531.4123331
565	531.4025427
566	531.2896611
567	531.1123577
568	531.0137315
569	530.8915195
570	530.8873554
571	530.7712376
572	530.6049478
573	530.552542
574	530.5176459
575	530.4745847
576	530.4000795
577	530.217708
578	530.1246246
579	529.953333
580	529.7676643
581	529.7407826
582	529.6217699
583	529.5340725
584	529.5079583
585	529.3638514
586	529.273578
587	529.2436528
588	529.1679492
589	529.011335
590	528.9210321
591	528.8614823
592	528.656637
593	528.5260946
594	528.4412905
595	528.3802039
596	528.33451
597	528.3169607
598	528.1233816
599	528.093155
600	528.0651968
601	527.9832382
602	527.9663737
603	527.8142177
604	527.7813386
605	527.7637547
606	527.7254075
607	527.5491722
608	527.4460423
609	527.4359273
610	527.3571151
611	527.1534362
612	527.0982582
613	527.074348
614	527.0585233
615	526.913632
616	526.8037635
617	526.6025025
618	526.5075144
619	526.4181684
620	526.3004583
621	526.2408732
622	526.150005
623	526.0889608
624	525.950675
625	525.878881
626	525.8635088
627	525.7766392
628	525.6982486
629	525.6005408
630	525.4174897
631	525.2877965
632	525.2147671
633	525.1109883
634	525.0286982
635	524.9431318
636	524.8666069
637	524.8516054
638	524.817024
639	524.6819448
640	524.6611606
641	524.6055811
642	524.4580322
643	524.3767924
644	524.3746689
645	524.2998256
646	524.2290209
647	524.059606
648	523.9516923
649	523.8922809
650	523.8132281
651	523.6801649
652	523.5149108
653	523.4477327
654	523.3690177
655	523.2890803
656	523.1837813
657	523.1710134
658	523.0563312
659	523.0258917
660	522.9756064
661	522.8862899
662	522.8843608
663	522.8548019
664	522.7154503
665	522.6452037
666	522.5533038
667	522.4401094
668	522.3462031
669	522.2439457
670	522.0201965
671	521.9795079
672	521.9678674
673	521.9018319
674	521.8367492
675	521.703368
676	521.6441256
677	521.5650374
678	521.4802923
679	521.359395
680	521.2656174
681	521.201643
682	521.152906
683	521.0986281
684	520.9940721
685	520.9094886
686	520.8217112
687	520.6892392
688	520.5722164
689	520.5214035
690	520.3678555
691	520.3613156
692	520.3140643
693	520.166212
694	520.1599454
695	520.1464037
696	520.1136634
697	520.1076284
698	520.0427936
699	519.9803631
700	519.8428042
701	519.7592149
702	519.7266535
703	519.566945
704	519.4129805
705	519.4072218
706	519.3360945
707	519.2966023
708	519.0943272
709	519.0083834
710	518.8428034
711	518.7236719
712	518.6712707
713	518.6656749
714	518.5883733
715	518.5388861
716	518.4361403
717	518.4237176
718	518.3328306
719	518.3274789
720	518.2489927
721	518.1672527
722	518.1002147
723	517.9962455
724	517.9651833
725	517.906731
726	517.8412112
727	517.8166315
728	517.7798993
729	517.6692136
730	517.6459847
731	517.5835825
732	517.524924
733	517.4805148
734	517.2930957
735	517.2884803
736	517.265954
737	517.152261
738	517.0194459
739	516.9408875
740	516.8226148
741	516.7082572
742	516.6660624
743	516.6616238
744	516.5829712
745	516.5807383
746	516.5175321
747	516.4196464
748	516.3408887
749	516.2840649
750	516.227955
751	516.2252414
752	516.1601957
753	516.0889841
754	515.9937109
755	515.880905
756	515.8120843
757	515.6834067
758	515.657421
759	515.6194859
760	515.5187714
761	515.5134603
762	515.4028515
763	515.3246635
764	515.227934
765	515.1051967
766	515.0202067
767	514.9301285
768	514.914062
769	514.8453617
770	514.7876117
771	514.6722217
772	514.6129469
773	514.4939732
774	514.3973152
775	514.3923034
776	514.2857979
777	514.2836666
778	514.2795275
779	514.2565447
780	514.2136688
781	514.1084858
782	513.9947563
783	513.9938389
784	513.9142628
785	513.8848765
786	513.8105264
787	513.7546346
788	513.7221749
789	513.6617459
790	513.5242665
791	513.4746489
792	513.404648
793	513.3760126
794	513.3089043
795	513.1725843
796	513.0936908
797	513.0872107
798	512.9578713
799	512.9041451
800	512.874184
801	512.7730963
802	512.7210539
803	512.608814
804	512.4891285
805	512.4280724
806	512.3614526
807	512.3544412
808	512.2546011
809	512.2246086
810	512.1254754
811	512.1176846
812	512.1125177
813	512.0594056
814	512.0297623
815	512.0101463
816	511.9707301
817	511.8356923
818	511.8169529
819	511.7277138
820	511.6060876
821	511.5338416
822	511.5288248
823	511.4933816
824	511.3703334
825	511.233459
826	511.189551
827	511.1206952
828	511.0513811
829	510.9394789
830	510.9323425
831	510.8250227
832	510.7259014
833	510.6762633
834	510.6417786
835	510.5491886
836	510.4447381
837	510.2892158
838	510.2768444
839	510.1670284
840	510.1460232
841	510.1122353
842	510.0214478
843	510.0179946
844	509.9855242
845	509.9589929
846	509.9311393
847	509.8941226
848	509.8753444
849	509.8492475
850	509.7355974
851	509.7105034
852	509.6074904
853	509.5893212
854	509.49134
855	509.4376232
856	509.2863106
857	509.2239884
858	509.1081325
859	509.0271471
860	508.9781349
861	508.9613408
862	508.9017714
863	508.870124
864	508.8399278
865	508.7351223
866	508.6651707
867	508.569937
868	508.5079948
869	508.4210907
870	508.3076416
871	508.2686635
872	508.178186
873	508.0837475
874	508.0451001
875	508.0156405
876	507.9372088
877	507.8652431
878	507.8065057
879	507.7224046
880	507.6034128
881	507.4914317
882	507.3961762
883	507.3497876
884	507.2916414
885	507.2319774
886	507.1725859
887	507.0896721
888	507.0602953
889	506.9890472
890	506.9615268
891	506.9326546
892	506.8381246
893	506.7323276
894	506.6806963
895	506.635422
896	506.6302929
897	506.5816775
898	506.5323415
899	506.5272528
900	506.5222743
901	506.4379569
902	506.3980483
903	506.3655662
904	506.3607805
905	506.3065412
906	506.2577384
907	506.1652391
908	506.1328324
909	506.0405318
910	506.0110474
911	505.9228589
912	505.8092521
913	505.7470492
914	505.6953576
915	505.6508501
916	505.6337167
917	505.5660197
918	505.5393478
919	505.5219395
920	505.4113561
921	505.3650222
922	505.3604595
923	505.3148538
924	505.2863662
925	505.1986681
926	505.1041189
927	505.0187551
928	504.9215463
929	504.8445195
930	504.7526863
931	504.6657092
932	504.6447048
933	504.5509822
934	504.4866508
935	504.4522868
936	504.4095353
937	504.3903279
938	504.3525086
939	504.309424
940	504.2816517
941	504.1985137
942	504.1973878
943	504.1715306
944	504.0960935
945	504.036382
946	503.9782859
947	503.9772167
948	503.8974374
949	503.8177335
950	503.7286484
951	503.6674257
952	503.6095296
953	503.5712238
954	503.5481098
955	503.5144323
956	503.4644726
957	503.4324007
958	503.3511678
959	503.2886327
960	503.222273
961	503.166473
962	503.1160286
963	503.0743349
964	503.0610268
965	502.9654986
966	502.9373794
967	502.9246116
968	502.9205201
969	502.8626774
970	502.8468291
971	502.8287065
972	502.7563897
973	502.7392986
974	502.6418921
975	502.637865
976	502.5835316
977	502.543817
978	502.4412638
979	502.425668
980	502.4047698
981	502.3961579
982	502.3314809
983	502.3113299
984	502.2405373
985	502.1593516
986	502.094558
987	502.0842318
988	502.0458903
989	502.0004889
990	501.997507
991	501.9009583
992	501.8687337
993	501.7928068
994	501.703286
995	501.6679631
996	501.633962
997	501.5647677
998	501.5476568
999	501.5153905
