iter	Passed	Remaining
417	2562	3568
418	2568	3561
419	2574	3554
420	2581	3549
421	2587	3544
422	2591	3535
423	2598	3530
424	2603	3522
425	2607	3513
426	2613	3506
427	2618	3499
428	2624	3493
429	2631	3487
430	2636	3480
431	2643	3475
432	2648	3468
433	2655	3462
434	2659	3454
435	2665	3447
436	2671	3441
437	2678	3437
438	2683	3429
439	2689	3422
440	2694	3415
441	2699	3408
442	2705	3401
443	2709	3393
444	2716	3388
445	2721	3380
446	2727	3374
447	2733	3368
448	2737	3359
449	2743	3353
450	2747	3344
451	2753	3338
452	2758	3330
453	2763	3323
454	2769	3317
455	2774	3310
456	2780	3303
457	2786	3297
458	2792	3290
459	2797	3284
460	2803	3278
461	2810	3272
462	2817	3267
463	2823	3261
464	2830	3256
465	2834	3248
466	2839	3240
467	2845	3234
468	2851	3228
469	2856	3221
470	2862	3215
471	2869	3209
472	2874	3202
473	2880	3196
474	2884	3187
475	2890	3181
476	2895	3174
477	2901	3168
478	2906	3161
479	2910	3153
480	2916	3147
481	2923	3141
482	2929	3135
483	2935	3130
484	2940	3122
485	2947	3117
486	2954	3112
487	2960	3105
488	2966	3099
489	2972	3094
490	2977	3086
491	2984	3081
492	2988	3073
493	2991	3064
494	2995	3055
495	2999	3048
496	3005	3042
497	3010	3034
498	3016	3029
499	3022	3022
500	3030	3018
501	3034	3010
502	3041	3004
503	3047	2999
504	3053	2993
505	3061	2989
506	3068	2983
507	3074	2977
508	3081	2972
509	3088	2967
510	3093	2960
511	3100	2955
512	3107	2949
513	3112	2943
514	3117	2936
515	3123	2929
516	3129	2923
517	3134	2916
518	3141	2911
519	3147	2905
520	3154	2900
521	3159	2893
522	3165	2887
523	3171	2880
524	3177	2874
525	3184	2869
526	3188	2862
527	3193	2855
528	3199	2848
529	3206	2843
530	3213	2838
531	3219	2832
532	3225	2825
533	3230	2819
534	3237	2813
535	3244	2808
536	3248	2800
537	3253	2793
538	3260	2788
539	3264	2781
540	3271	2775
541	3276	2768
542	3281	2761
543	3287	2755
544	3291	2747
545	3297	2741
546	3303	2735
547	3309	2729
548	3315	2723
549	3322	2718
550	3329	2712
551	3336	2708
552	3342	2701
553	3347	2695
554	3355	2690
555	3360	2683
556	3365	2676
557	3371	2670
558	3378	2665
559	3385	2659
560	3390	2652
561	3398	2648
562	3403	2642
563	3410	2636
564	3417	2631
565	3422	2624
566	3429	2618
567	3434	2611
568	3439	2605
569	3445	2599
570	3450	2592
571	3456	2586
572	3462	2580
573	3470	2575
574	3477	2570
575	3483	2564
576	3490	2558
577	3495	2552
578	3501	2545
579	3505	2538
580	3511	2532
581	3519	2527
582	3525	2521
583	3532	2516
584	3537	2509
585	3542	2502
586	3548	2496
587	3556	2491
588	3563	2486
589	3570	2481
590	3577	2475
591	3584	2470
592	3589	2463
593	3595	2457
594	3602	2452
595	3608	2445
596	3613	2439
597	3621	2434
598	3625	2426
599	3630	2420
600	3636	2414
601	3643	2408
602	3648	2401
603	3653	2395
604	3657	2387
605	3663	2381
606	3669	2375
607	3674	2369
608	3681	2363
609	3688	2357
610	3694	2352
611	3700	2345
612	3705	2339
613	3713	2334
614	3719	2328
615	3724	2321
616	3729	2315
617	3735	2308
618	3740	2302
619	3748	2297
620	3755	2292
621	3763	2287
622	3770	2281
623	3776	2275
624	3780	2268
625	3787	2262
626	3795	2257
627	3801	2251
628	3806	2245
629	3811	2238
630	3817	2232
631	3823	2226
632	3828	2219
633	3836	2214
634	3844	2210
635	3854	2206
636	3860	2199
637	3868	2194
638	3874	2188
639	3880	2182
640	3889	2178
641	3894	2171
642	3900	2165
643	3907	2160
644	3911	2153
645	3919	2147
646	3926	2142
647	3934	2137
648	3941	2131
649	3948	2126
650	3954	2120
651	3962	2114
652	3967	2108
653	3973	2102
654	3980	2096
655	3985	2089
656	3990	2083
657	3994	2076
658	4002	2070
659	4008	2065
660	4015	2059
661	4020	2052
662	4024	2045
663	4030	2039
664	4037	2034
665	4044	2028
666	4051	2022
667	4057	2016
668	4063	2010
669	4069	2004
670	4075	1998
671	4082	1992
672	4087	1985
673	4095	1980
674	4102	1975
675	4110	1970
676	4116	1963
677	4122	1957
678	4128	1951
679	4135	1946
680	4142	1940
681	4149	1934
682	4156	1928
683	4163	1923
684	4170	1917
685	4177	1912
686	4182	1905
687	4188	1899
688	4197	1894
689	4204	1889
690	4209	1882
691	4214	1875
692	4221	1870
693	4229	1864
694	4233	1857
695	4241	1852
696	4246	1846
697	4250	1838
698	4257	1833
699	4262	1826
700	4267	1820
701	4277	1815
702	4284	1810
703	4290	1804
704	4295	1797
705	4299	1790
706	4304	1783
707	4310	1777
708	4317	1771
709	4323	1765
710	4329	1759
711	4336	1754
712	4345	1749
713	4349	1742
714	4356	1736
715	4365	1731
716	4373	1726
717	4378	1719
718	4384	1713
719	4390	1707
720	4398	1702
721	4405	1696
722	4412	1690
723	4420	1685
724	4428	1679
725	4435	1673
726	4440	1667
727	4447	1661
728	4454	1655
729	4461	1650
730	4466	1643
731	4471	1637
732	4478	1631
733	4484	1625
734	4491	1619
735	4497	1613
736	4504	1607
737	4511	1601
738	4518	1595
739	4525	1589
740	4531	1583
741	4537	1577
742	4546	1572
743	4552	1566
744	4558	1560
745	4562	1553
746	4569	1547
747	4575	1541
748	4581	1535
749	4589	1529
750	4595	1523
751	4601	1517
752	4608	1511
753	4613	1505
754	4621	1499
755	4629	1494
756	4635	1488
757	4642	1482
758	4649	1476
759	4657	1470
760	4663	1464
761	4668	1458
762	4675	1452
763	4681	1446
764	4689	1440
765	4695	1434
766	4703	1428
767	4709	1422
768	4716	1416
769	4722	1410
770	4727	1404
771	4731	1397
772	4739	1391
773	4745	1385
774	4752	1379
775	4757	1373
776	4763	1367
777	4767	1360
778	4773	1354
779	4780	1348
780	4789	1342
781	4796	1337
782	4803	1331
783	4806	1324
784	4814	1318
785	4821	1312
786	4828	1306
787	4836	1301
788	4841	1294
789	4847	1288
790	4853	1282
791	4859	1276
792	4866	1270
793	4872	1264
794	4880	1258
795	4886	1252
796	4892	1246
797	4897	1239
798	4903	1233
799	4907	1226
800	4912	1220
801	4920	1214
802	4928	1209
803	4936	1203
804	4942	1197
805	4948	1190
806	4955	1185
807	4959	1178
808	4966	1172
809	4972	1166
810	4980	1160
811	4985	1154
812	4990	1147
813	4996	1141
814	5001	1135
815	5007	1129
816	5014	1123
817	5021	1117
818	5025	1110
819	5031	1104
820	5036	1098
821	5044	1092
822	5048	1085
823	5056	1079
824	5063	1073
825	5070	1068
826	5076	1061
827	5082	1055
828	5087	1049
829	5094	1043
830	5100	1037
831	5106	1031
832	5112	1024
833	5119	1019
834	5127	1013
835	5133	1007
836	5141	1001
837	5148	995
838	5154	989
839	5162	983
840	5167	977
841	5175	971
842	5181	965
843	5186	958
844	5192	952
845	5198	946
846	5203	939
847	5208	933
848	5213	927
849	5219	921
850	5225	914
851	5231	908
852	5238	902
853	5244	896
854	5250	890
855	5255	884
856	5262	878
857	5268	871
858	5273	865
859	5279	859
860	5285	853
861	5290	846
862	5296	840
863	5305	835
864	5309	828
865	5315	822
866	5321	816
867	5326	810
868	5332	803
869	5338	797
870	5344	791
871	5349	785
872	5356	779
873	5364	773
874	5370	767
875	5378	761
876	5384	755
877	5392	749
878	5398	743
879	5406	737
880	5414	731
881	5421	725
882	5428	719
883	5435	713
884	5442	707
885	5449	701
886	5454	694
887	5459	688
888	5467	682
889	5474	676
890	5482	670
891	5489	664
892	5495	658
893	5502	652
894	5507	646
895	5514	640
896	5519	633
897	5524	627
898	5532	621
899	5538	615
900	5542	609
901	5548	602
902	5554	596
903	5560	590
904	5564	584
905	5570	577
906	5575	571
907	5579	565
908	5587	559
909	5593	553
910	5599	547
911	5606	540
912	5613	534
913	5620	528
914	5626	522
915	5631	516
916	5636	510
917	5642	504
918	5651	498
919	5659	492
920	5665	485
921	5673	479
922	5678	473
923	5685	467
924	5693	461
925	5699	455
926	5707	449
927	5715	443
928	5719	437
929	5724	430
930	5731	424
931	5738	418
932	5743	412
933	5750	406
934	5758	400
935	5763	394
936	5767	387
937	5773	381
938	5780	375
939	5788	369
940	5794	363
941	5800	357
942	5806	350
943	5812	344
944	5818	338
945	5826	332
946	5833	326
947	5839	320
948	5846	314
949	5851	307
950	5859	301
951	5864	295
952	5869	289
953	5876	283
954	5882	277
955	5887	270
956	5894	264
957	5898	258
958	5934	253
959	5948	247
960	5955	241
961	5961	235
962	5967	229
963	5973	223
964	5979	216
965	5986	210
966	5993	204
967	5997	198
968	6001	192
969	6005	185
970	6011	179
971	6018	173
972	6023	167
973	6028	160
974	6033	154
975	6037	148
976	6044	142
977	6049	136
978	6054	129
979	6060	123
980	6065	117
981	6071	111
982	6077	105
983	6084	98
984	6090	92
985	6098	86
986	6105	80
987	6111	74
988	6118	68
989	6125	61
990	6132	55
991	6137	49
992	6142	43
993	6149	37
994	6155	30
995	6162	24
996	6168	18
997	6175	12
998	6183	6
999	6190	0
